zona,area_quartos,enderecos_lista,aluguel
norte,600 m² construídos,"Soldado José Rufino Costa, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",10.000
norte,70 m² construídos3 quartos,"Reims 120, Casa Verde, São Paulo Zona Norte, São Paulo",1.799
norte,70 m² construídos1 quarto,"Rua Caetano Gonçalves, Chora Menino, São Paulo Zona Norte, São Paulo",1.365
norte,224 m² construídos3 quartos,"Rua Francisca Júlia, Santana, São Paulo Zona Norte, São Paulo",5.400
norte,35 m² construídos1 quarto,"Rua Aragão, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.200
norte,75 m² construídos2 quartos,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",4.200
norte,50 m² construídos2 quartos,"Rua Araçoiaba Da Serra, Tucuruvi, São Paulo Zona Norte, São Paulo",1.900
norte,50 m² construídos1 quarto,"Rua Maquinista Trigo, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",1.250
norte,66 m² construídos2 quartos,"Rua José Debieux, Santana, São Paulo Zona Norte, São Paulo",2.500
norte,380 m² construídos4 quartos,"Rua Danúbio Azul, Jardim Japão, São Paulo Zona Norte, São Paulo",12.880
norte,100 m² construídos3 quartos,"Rua Jeni Klabin Segall, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",2.150
norte,100 m² construídos2 quartos,"Rua Eurico Sodré, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.800
norte,80 m² construídos2 quartos,"Rua Aburá, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",2.660
norte,90 m² construídos3 quartos,"Avenida Jaçanã, Jaçanã, São Paulo Zona Norte, São Paulo",1.900
norte,120 m² construídos2 quartos,"Rua Araritaguaba, Vila Maria, São Paulo Zona Norte, São Paulo",2.800
norte,30 m² construídos1 quarto,"Rua Álvaro Dos Santos, Jardim Brasil, São Paulo Zona Norte, São Paulo",850
norte,55 m² construídos2 quartos,"Rua Santa Eudóxia, 963 Cs 9, Parque Peruche, São Paulo Zona Norte, São Paulo",1.375
norte,82 m² construídos2 quartos,"Rua Adelfa De Figueiredo, Jardim Paraíso, São Paulo Zona Norte, São Paulo",4.000
norte,60 m² construídos2 quartos,"Avenida Guilherme Cotching, Vila Maria, São Paulo Zona Norte, São Paulo",1.630
norte,120 m² construídos4 quartos,"Av. Álvaro Machado Pedrosa, Parada Inglesa, São Paulo Zona Norte, São Paulo",2.180
norte,162 m² construídos4 quartos,"Rua Carlos Escobar, Santana, São Paulo Zona Norte, São Paulo",4.460
norte,80 m² construídos4 quartos,"Rua Augusto Gil, Vila Dionisia, São Paulo Zona Norte, São Paulo",2.400
norte,62 m² construídos2 quartos,"Avenida Júlio Buono, Vila Gustavo, São Paulo Zona Norte, São Paulo",3.000
norte,53 m² construídos2 quartos,"Rua Jaguaretê, Casa Verde, São Paulo Zona Norte, São Paulo",1.670
norte,67 m² construídos2 quartos,"Rua Márcio Mazzei, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",1.280
norte,90 m² construídos3 quartos,"Rua Carlos Gomes, Tucuruvi, São Paulo Zona Norte, São Paulo",2.500
norte,120 m² construídos2 quartos,"Avenida Santa Inês, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.680
norte,82 m² construídos3 quartos,"Rua José De Almeida, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.840
norte,60 m² construídos2 quartos,"Avenida General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",2.400
norte,90 m² construídos3 quartos,"Avenida Clavásio Alves Da Silva, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1.520
norte,577 m² construídos5 quartos,"Rua Monte Cassino, Casa Verde, São Paulo Zona Norte, São Paulo",15.000
norte,229 m² construídos4 quartos,"Rua Doutor Guilherme Cristoffel, Santana, São Paulo Zona Norte, São Paulo",7.500
norte,300 m² construídos3 quartos,"Rua Galiléia, Casa Verde Média, São Paulo Zona Norte, São Paulo",3.500
norte,40 m² construídos1 quarto,"Avenida Sanatório, Jardim Modelo, São Paulo Zona Norte, São Paulo",950
norte,90 m² construídos2 quartos,"Rua Doutor Pedro Jabur, Vila Pereira Cerca, São Paulo Zona Norte, São Paulo",1.365
norte,100 m² construídos2 quartos,"Rua Ida Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.616
norte,50 m² construídos2 quartos,"Rua José De Oliveira, Parque Peruche, São Paulo Zona Norte, São Paulo",1.560
norte,60 m² construídos1 quarto,"Rua Artur, Imirim, São Paulo Zona Norte, São Paulo",1.200
norte,85 m² construídos2 quartos,"Rua Dos Sitiantes, Itaberaba, São Paulo Zona Norte, São Paulo",2.070
norte,48 m² construídos2 quartos,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",2.050
norte,90 m² construídos2 quartos,"Rua Emílio Rodrigues, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900
norte,250 m² construídos3 quartos,"Rua Plácido Leão, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",2.500
norte,110 m² construídos3 quartos,"Rua Macaiá-mirim, Santana, São Paulo Zona Norte, São Paulo",2.300
norte,49 m² construídos2 quartos,"Rua Eugênio De Freitas, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.050
norte,110 m² construídos2 quartos,"Avenida Gustavo Adolfo, Vila Gustavo, São Paulo Zona Norte, São Paulo",2.200
norte,78 m² construídos2 quartos,"Rua Pontins, Santana, São Paulo Zona Norte, São Paulo",3.400
norte,55 m² construídos2 quartos,"Travessa Dona Amélia Vieira Pita, Chora Menino, São Paulo Zona Norte, São Paulo",1.850
norte,47 m² construídos1 quarto,"Rua Do Tramway, Tucuruvi, São Paulo Zona Norte, São Paulo",1.700
norte,42 m² construídos2 quartos,"Rua Ventura Carneiro, Vila Celeste, São Paulo Zona Norte, São Paulo",1.320
norte,57 m² construídos1 quarto,"Rua Conselheiro Moreira De Barros, Santana, São Paulo Zona Norte, São Paulo",1.490
norte,23 m² construídos1 quarto,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.600
norte,70 m² construídos2 quartos,"Travessa Urbano Do Carmo Curado, Parque Vitória, São Paulo Zona Norte, São Paulo",1.650
norte,34 m² construídos1 quarto,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.120
norte,63 m² construídos1 quarto,"Rua Zanzibar, Casa Verde, São Paulo Zona Norte, São Paulo",3.800
norte,150 m² construídos3 quartos,"Rua George Chahestian, Vila Basileia, São Paulo Zona Norte, São Paulo",2.560
norte,80 m² construídos3 quartos,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",1.800
norte,68 m² construídos2 quartos,"Rua Martiniano De Carvalho, Vila Bela Vista (capital Zona Norte), São Paulo Zona Norte, São Paulo",2.500
norte,240 m² construídos3 quartos,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",8.200
norte,119 m² construídos3 quartos,"Rua Pero De Campos, Água Fria, São Paulo Zona Norte, São Paulo",5.130
norte,78 m² construídos3 quartos,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",2.480
norte,48 m² construídos2 quartos,"Rua Areia Do Rosário, Jardim Modelo, São Paulo Zona Norte, São Paulo",1.580
norte,90 m² construídos1 quarto,"R. Pixibas, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.434
norte,67 m² construídos3 quartos,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",3.510
norte,90 m² construídos3 quartos,"Rua Duarte De Azevedo, Santana, São Paulo Zona Norte, São Paulo",2.100
norte,58 m² construídos2 quartos,"Rua Laranjeira, Jardim Peri, São Paulo Zona Norte, São Paulo",1.200
norte,400 m² construídos3 quartos,"Rua Eduardo Vicente Nasser, Barro Branco, São Paulo Zona Norte, São Paulo",11.340
norte,45 m² construídos2 quartos,"Rua Juan Arfe, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",1.600
norte,64 m² construídos3 quartos,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",2.190
norte,29 m² construídos1 quarto,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.490
norte,31 m² construídos1 quarto,"Rua Lídia Coelho, Santana, São Paulo Zona Norte, São Paulo",1.650
norte,250 m² construídos3 quartos,"Rua Francisco Bernardino, Vila Pereira Cerca, São Paulo Zona Norte, São Paulo",4.000
norte,54 m² construídos2 quartos,"Rua Itaiquara, Itaberaba, São Paulo Zona Norte, São Paulo",1.460
norte,59 m² construídos1 quarto,"Avenida Sanatório, Jardim Modelo, São Paulo Zona Norte, São Paulo",1.250
norte,90 m² construídos3 quartos,"Rua Soror Angélica, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",2.220
